id,name,type1,type2,hp,attack,defense,spatk,spdef,speed,ability1,ability2,hiden_ability
65,Galvantula,Bug,Electric,70,77,60,97,60,108,Compoundeyes,Unnerve,Swarm
66,Electrike,Electric,,40,45,40,65,40,65,Static,Lightning Rod,Minus
67,Manectric,Electric,,70,75,60,105,60,105,Static,Lightning Rod,Minus
68,Vulpix,Fire,,38,41,40,50,65,65,Flash Fire,Drought,
69,Ninetales,Fire,,73,76,75,81,100,100,Flash Fire,Drought,
70,Growlithe,Fire,,55,70,45,70,50,60,Intimidate,Flash Fire,Justified
71,Arcanine,Fire,,90,110,80,100,80,95,Intimidate,Flash Fire,Justified
72,Vanillite,Ice,,36,50,50,65,60,44,Ice Body,Snow Cloak,Weak Armor
73,Vanillish,Ice,,51,65,65,80,75,59,Ice Body,Snow Cloak,Weak Armor
74,Vanilluxe,Ice,,71,95,85,110,95,79,Ice Body,Snow Warning,Weak Armor
75,Swinub,Ice,Ground,50,50,40,30,30,50,Oblivious,Snow Cloak,Thick Fat
76,Piloswine,Ice,Ground,100,100,80,60,60,50,Oblivious,Snow Cloak,Thick Fat
77,Mamoswine,Ice,Ground,110,130,80,70,60,80,Oblivious,Snow Cloak,Thick Fat
78,Delibird,Ice,Flying,45,55,45,65,45,75,Vital Spirit,Hustle,Insomnia
79,Snorunt,Ice,,50,50,50,50,50,50,Inner Focus,Ice Body,Moody
80,Glalie,Ice,,80,80,80,80,80,80,Inner Focus,Ice Body,Moody
81,Froslass,Ice,Ghost,70,80,70,80,70,110,Snow Cloak,Cursed Body,
82,Baltoy,Ground,Psychic,40,40,55,40,70,55,Levitate,,
83,Claydol,Ground,Psychic,60,70,105,70,120,75,Levitate,,
84,Mudbray,Ground,,70,100,70,45,55,45,Own Tempo,Stamina,Inner Focus
85,Mudsdale,Ground,,100,125,100,55,85,35,Own Tempo,Stamina,Inner Focus
86,Dwebble,Bug,Rock,50,65,85,35,35,55,Sturdy,Shell Armor,Weak Armor
87,Crustle,Bug,Rock,70,105,125,65,75,45,Sturdy,Shell Armor,Weak Armor
88,Golett,Ground,Ghost,59,74,50,35,50,35,Iron Fist,Klutz,No Guard
89,Golurk,Ground,Ghost,89,124,80,55,80,55,Iron Fist,Klutz,No Guard
90,Munna,Psychic,,76,25,45,67,55,24,Forewarn,Synchronize,Telepathy
91,Musharna,Psychic,,116,55,85,107,95,29,Forewarn,Synchronize,Telepathy
92,Natu,Psychic,Flying,40,50,45,70,45,70,Synchronize,Early Bird,Magic Bounce
93,Xatu,Psychic,Flying,65,75,70,95,70,95,Synchronize,Early Bird,Magic Bounce
94,Stufful,Normal,Fighting,70,75,50,45,50,50,Fluffy,Klutz,Cute Charm
95,Bewear,Normal,Fighting,120,125,80,55,60,60,Fluffy,Klutz,Unnerve
96,Snover,Grass,Ice,60,62,50,62,60,40,Snow Warning,Soundproof,
97,Abomasnow,Grass,Ice,90,92,75,92,85,60,Snow Warning,Soundproof,
98,Krabby,Water,,30,105,90,25,25,50,Hyper Cutter,Shell Armor,Sheer Force
99,Kingler,Water,,55,130,115,50,50,75,Hyper Cutter,Shell Armor,Sheer Force
100,Wooper,Water,Ground,55,45,45,25,25,15,Damp,Water Absorb,Unaware
101,Quagsire,Water,Ground,95,85,85,65,65,35,Damp,Water Absorb,Unaware
102,Corphish,Water,,43,80,65,50,35,35,Hyper Cutter,Shell Armor,Adaptability
103,Crawdaunt,Water,Dark,63,120,85,90,55,55,Hyper Cutter,Shell Armor,Adaptability
104,Nincada,Bug,Ground,31,45,90,30,30,40,Compoundeyes,Run Away,
105,Ninjask,Bug,Flying,61,90,45,50,50,160,Speed Boost,Infiltrator,
106,Shedinja,Bug,Ghost,1,90,45,30,30,40,Wonder Guard,,
107,Tyrogue,Fighting,,35,35,35,35,35,35,Guts,Steadfast,Vital Spirit
108,Hitmonlee,Fighting,,50,120,53,35,110,87,Limber,Reckless,Unburden
109,Hitmonchan,Fighting,,50,105,79,35,110,76,Keen Eye,Iron Fist,Inner Focus
110,Hitmontop,Fighting,,50,95,95,35,110,70,Intimidate,Technician,Steadfast
111,Pancham,Fighting,,67,82,62,46,48,43,Iron Fist,Mold Breaker,Scrappy
112,Pangoro,Fighting,Dark,95,124,78,69,71,58,Iron Fist,Mold Breaker,Scrappy
113,Klink,Steel,,40,55,70,45,60,30,Plus,Minus,Clear Body
114,Klang,Steel,,60,80,95,70,85,50,Plus,Minus,Clear Body
115,Klinklang,Steel,,60,100,115,70,85,90,Plus,Minus,Clear Body
116,Combee,Bug,Flying,30,30,42,30,42,70,Honey Gather,Hustle,
117,Vespiquen,Bug,Flying,70,80,102,80,102,40,Pressure,Unnerve,
118,Bronzor,Steel,Psychic,57,24,86,24,86,23,Levitate,Heatproof,Heavy Metal
119,Bronzong,Steel,Psychic,67,89,116,79,116,33,Levitate,Heatproof,Heavy Metal
120,Ralts,Psychic,Fairy,28,25,25,45,35,40,Synchronize,Trace,Telepathy
121,Kirlia,Psychic,Fairy,38,35,35,65,55,50,Synchronize,Trace,Telepathy
122,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,Synchronize,Trace,Telepathy
123,Gallade,Psychic,Fighting,68,125,65,65,115,80,Steadfast,Justified,
124,Drifloon,Ghost,Flying,90,50,34,60,44,70,Aftermath,Unburden,Flare Boost
125,Drifblim,Ghost,Flying,150,80,44,90,54,80,Aftermath,Unburden,Flare Boost
126,Gossifleur,Grass,,40,40,60,40,60,10,Cotton Down,Regenerator,Effect Spore
127,Eldegoss,Grass,,60,50,90,80,120,60,Cotton Down,Regenerator,Effect Spore
128,Cherubi,Grass,,45,35,45,62,53,35,Chlorophyll,,
129,Cherrim,Grass,,70,60,70,87,78,85,Flower Gift,,
130,Stunky,Poison,Dark,63,63,47,41,41,74,Stench,Aftermath,Keen Eye
131,Skuntank,Poison,Dark,103,93,67,71,61,84,Stench,Aftermath,Keen Eye
132,Tympole,Water,,50,50,40,50,40,64,Swift Swim,Hydration,Water Absorb
133,Palpitoad,Water,Ground,75,65,55,65,55,69,Swift Swim,Hydration,Water Absorb
134,Seismitoad,Water,Ground,105,95,75,85,75,74,Swift Swim,Poison Touch,Water Absorb
135,Duskull,Ghost,,20,40,90,30,90,25,Levitate,Frisk,
136,Dusclops,Ghost,,40,70,130,60,130,25,Pressure,Frisk,
137,Dusknoir,Ghost,,45,100,135,65,135,45,Pressure,Frisk,
138,Machop,Fighting,,70,80,50,35,35,35,Guts,No Guard,Steadfast
139,Machoke,Fighting,,80,100,70,50,60,45,Guts,No Guard,Steadfast
140,Machamp,Fighting,,90,130,80,65,85,55,Guts,No Guard,Steadfast
141,Gastly,Ghost,Poison,30,35,30,100,35,80,Levitate,,
142,Haunter,Ghost,Poison,45,50,45,115,55,95,Levitate,,
143,Gengar,Ghost,Poison,60,65,60,130,75,110,Cursed Body,,
144,Magikarp,Water,,20,10,55,15,20,80,Swift Swim,Rattled,
145,Gyarados,Water,Flying,95,125,79,60,100,81,Intimidate,Moxie,
146,Goldeen,Water,,45,67,60,35,50,63,Swift Swim,Water Veil,Lightning Rod
147,Seaking,Water,,80,92,65,65,80,68,Swift Swim,Water Veil,Lightning Rod
148,Remoraid,Water,,35,65,35,65,35,65,Hustle,Sniper,Moody
149,Octillery,Water,,75,105,75,105,75,45,Suction Cups,Sniper,Moody
150,Shellder,Water,,30,65,100,45,25,40,Shell Armor,Skill Link,Overcoat
151,Cloyster,Water,Ice,50,95,180,85,45,70,Shell Armor,Skill Link,Overcoat
152,Feebas,Water,,20,15,20,10,55,80,Swift Swim,Oblivious,Adaptability
153,Milotic,Water,,95,60,79,100,125,81,Marvel Scale,Competitive,Cute Charm
154,Basculin,Water,,70,92,65,80,55,98,Reckless,Adaptability,Mold Breaker
155,Wishiwashi,Water,,45,20,20,25,25,40,Schooling,,
156,Pyukumuku,Water,,55,60,130,30,130,5,Innards Out,Unaware,
157,Trubbish,Poison,,50,50,62,40,62,65,Stench,Sticky Hold,Aftermath
158,Garbodor,Poison,,80,95,82,60,82,75,Stench,Weak Armor,Aftermath
159,Sizzlipede,Fire,Bug,50,65,45,50,50,45,Flash Fire,White Smoke,Flame Body
160,Centiskorch,Fire,Bug,100,115,65,90,90,65,Flash Fire,White Smoke,Flame Body
161,Rolycoly,Rock,,30,40,50,40,50,30,Steam Engine,Heatproof,Flash Fire
162,Carkol,Rock,Fire,80,60,90,60,70,50,Steam Engine,Flame Body,Flash Fire
163,Coalossal,Rock,Fire,110,80,120,80,90,30,Steam Engine,Flame Body,Flash Fire
164,Diglett,Ground,,10,55,25,35,45,95,Sand Veil,Arena Trap,Sand Force
165,Dugtrio,Ground,,35,100,50,50,70,120,Sand Veil,Arena Trap,Sand Force
166,Drilbur,Ground,,60,85,40,30,45,68,Sand Rush,Sand Force,Mold Breaker
167,Excadrill,Ground,Steel,110,135,60,50,65,88,Sand Rush,Sand Force,Mold Breaker
168,Roggenrola,Rock,,55,75,85,25,25,15,Sturdy,Weak Armor,Sand Force
169,Boldore,Rock,,70,105,105,50,40,20,Sturdy,Weak Armor,Sand Force
170,Gigalith,Rock,,85,135,130,60,80,25,Sturdy,Sand Stream,Sand Force
171,Timburr,Fighting,,75,80,55,25,35,35,Guts,Sheer Force,Iron Fist
172,Gurdurr,Fighting,,85,105,85,40,50,40,Guts,Sheer Force,Iron Fist
173,Conkeldurr,Fighting,,105,140,95,55,65,45,Guts,Sheer Force,Iron Fist
174,Woobat,Psychic,Flying,65,45,43,55,43,72,Unaware,Klutz,Simple
175,Swoobat,Psychic,Flying,67,57,55,77,55,114,Unaware,Klutz,Simple
176,Noibat,Flying,Dragon,40,30,35,45,40,55,Frisk,Infiltrator,Telepathy
177,Noivern,Flying,Dragon,85,70,80,97,80,123,Frisk,Infiltrator,Telepathy
178,Onix,Rock,Ground,35,45,160,30,45,70,Rock Head,Sturdy,Weak Armor
179,Steelix,Steel,Ground,75,85,200,55,65,30,Rock Head,Sturdy,Sheer Force
180,Arrokuda,Water,,41,63,40,40,30,66,Swift Swim,Propeller Tail,
181,Barraskewda,Water,,61,123,60,60,50,136,Swift Swim,Propeller Tail,
182,Meowth,Normal,,50,65,55,40,40,40,Pickup,Tough Claws,Unnerve
183,Perrserker,Steel,,70,110,100,50,60,50,Battle Armor,Tough Claws,Steely Spirit
184,Persian,Normal,,65,70,60,65,65,115,Limber,Technician,Unnerve
185,Milcery,Fairy,,45,40,40,50,61,34,Sweet Veil,Aroma Veil,
186,Alcremie,Fairy,,65,60,75,110,121,64,Sweet Veil,Aroma Veil,
187,Cutiefly,Bug,Fairy,40,45,40,55,40,84,Honey Gather,Shield Dust,Sweet Veil
188,Ribombee,Bug,Fairy,60,55,60,95,70,124,Honey Gather,Shield Dust,Sweet Veil
189,Ferroseed,Grass,Steel,44,50,91,24,86,10,Iron Barbs,,
190,Ferrothorn,Grass,Steel,74,94,131,54,116,20,Iron Barbs,Anticipation,
191,Pumpkaboo,Ghost,Grass,49,66,70,44,55,51,Pickup,Frisk,Insomnia
192,Gourgeist,Ghost,Grass,65,90,122,58,75,84,Pickup,Frisk,Insomnia
193,Pichu,Electric,,20,40,15,35,35,60,Static,Lightning Rod,
194,Pikachu,Electric,,35,55,40,50,50,90,Static,Lightning Rod,
195,Raichu,Electric,,60,90,55,90,80,110,Static,Lightning Rod,
196,Eevee,Normal,,55,55,50,45,65,55,Run Away,Adaptability,Anticipation
197,Vaporeon,Water,,130,65,60,110,95,65,Water Absorb,Hydration,
198,Jolteon,Electric,,65,65,60,110,95,130,Volt Absorb,Quick Feet,
199,Flareon,Fire,,65,130,60,95,110,65,Flash Fire,Guts,
200,Espeon,Psychic,,65,65,60,130,95,110,Synchronize,Magic Bounce,
201,Umbreon,Dark,,95,65,110,60,130,65,Synchronize,Inner Focus,
202,Leafeon,Grass,,65,110,130,60,65,95,Leaf Guard,Chlorophyll,
203,Glaceon,Ice,,65,60,110,130,95,65,Snow Cloak,Ice Body,
204,Sylveon,Fairy,,95,65,65,110,130,60,Cute Charm,Pixilate,
205,Applin,Grass,Dragon,40,40,80,40,40,20,Ripen,Gluttony,Bulletproof
206,Flapple,Grass,Dragon,70,110,80,95,60,70,Ripen,Gluttony,Hustle
207,Appletun,Grass,Dragon,110,85,80,100,80,30,Ripen,Gluttony,Thick Fat
208,Espurr,Psychic,,62,48,54,63,60,68,Keen Eye,Infiltrator,Own Tempo
209,Meowstic,Psychic,,74,48,76,83,81,104,Keen Eye,Infiltrator,Prankster
210,Swirlix,Fairy,,62,48,66,59,57,49,Sweet Veil,Unburden,
211,Slurpuff,Fairy,,82,80,86,85,75,72,Sweet Veil,Unburden,
212,Spritzee,Fairy,,78,52,60,63,65,23,Healer,Aroma Veil,
213,Aromatisse,Fairy,,101,72,72,99,89,29,Healer,Aroma Veil,
214,Dewpider,Water,Bug,38,40,52,40,72,27,Water Bubble,Water Absorb,
215,Araquanid,Water,Bug,68,70,92,50,132,42,Water Bubble,Water Absorb,
216,Wynaut,Psychic,,95,23,48,23,48,23,Shadow Tag,Telepathy,
217,Wobbuffet,Psychic,,190,33,58,33,58,33,Shadow Tag,Telepathy,
218,Farfetch'd,Normal,Flying,52,95,55,58,62,55,Steadfast,Scrappy,
219,Sirfetch'd,Fighting,,62,135,95,68,82,65,Steadfast,Scrappy,
220,Chinchou,Water,Electric,75,38,38,56,56,67,Volt Absorb,Illuminate,Water Absorb
221,Lanturn,Water,Electric,125,58,58,76,76,67,Volt Absorb,Illuminate,Water Absorb
222,Croagunk,Poison,Fighting,48,61,40,61,40,50,Anticipation,Dry Skin,Poison Touch
223,Toxicroak,Poison,Fighting,83,106,65,86,65,85,Anticipation,Dry Skin,Poison Touch
224,Scraggy,Dark,Fighting,50,75,70,35,70,48,Shed Skin,Moxie,Intimidate
225,Scrafty,Dark,Fighting,65,90,115,45,115,58,Shed Skin,Moxie,Intimidate
226,Stunfisk,Ground,Electric,109,81,99,66,84,32,Mimicry,,
227,Shuckle,Bug,Rock,20,10,230,10,230,5,Sturdy,Gluttony,Contrary
228,Barboach,Water,Ground,50,48,43,46,41,60,Oblivious,Anticipation,Hydration
229,Whiscash,Water,Ground,110,78,73,76,71,60,Oblivious,Anticipation,Hydration
230,Shellos,Water,,76,48,48,57,62,34,Sticky Hold,Storm Drain,Sand Force
231,Gastrodon,Water,Ground,111,83,68,92,82,39,Sticky Hold,Storm Drain,Sand Force
232,Wimpod,Bug,Water,25,35,40,20,30,80,Wimp Out,,
233,Golisopod,Bug,Water,75,125,140,60,90,40,Emergency Exit,,
234,Binacle,Rock,Water,42,52,67,39,56,50,Tough Claws,Sniper,Pickpocket
235,Barbaracle,Rock,Water,72,105,115,54,86,68,Tough Claws,Sniper,Pickpocket
236,Corsola,Water,Rock,60,55,100,65,100,30,Weak Armor,Cursed Body,
237,Cursola,Ghost,,60,95,50,145,130,30,Weak Armor,Perish Body,
238,Impidimp,Dark,Fairy,45,45,30,55,40,50,Prankster,Frisk,Pickpocket
239,Morgrem,Dark,Fairy,65,60,45,75,55,70,Prankster,Frisk,Pickpocket
240,Grimmsnarl,Dark,Fairy,95,120,65,95,75,60,Prankster,Frisk,Pickpocket
241,Hatenna,Psychic,,42,30,45,56,53,39,Healer,Anticipation,Magic Bounce
242,Hattrem,Psychic,,57,40,65,86,73,49,Healer,Anticipation,Magic Bounce
243,Hatterene,Psychic,Fairy,57,90,95,136,103,29,Healer,Anticipation,Magic Bounce
244,Salandit,Poison,Fire,48,44,40,71,40,77,Corrosion,Oblivious,
245,Salazzle,Poison,Fire,68,64,60,111,60,117,Corrosion,Oblivious,
246,Pawniard,Dark,Steel,45,85,70,40,40,60,Defiant,Inner Focus,Pressure
247,Bisharp,Dark,Steel,65,125,100,60,70,70,Defiant,Inner Focus,Pressure
248,Throh,Fighting,,120,100,85,30,85,45,Guts,Inner Focus,Mold Breaker
249,Sawk,Fighting,,75,125,75,30,75,85,Sturdy,Inner Focus,Mold Breaker
250,Koffing,Poison,,40,65,95,60,45,35,Levitate,Neutralizing Gas,Stench
251,Weezing,Poison,,65,90,120,85,70,60,Levitate,Neutralizing Gas,Misty Surge
252,Bonsly,Rock,,50,80,95,10,45,10,Sturdy,Rock Head,Rattled
253,Sudowoodo,Rock,,70,100,115,30,65,30,Sturdy,Rock Head,Rattled
254,Cleffa,Fairy,,50,25,28,45,55,15,Cute Charm,Magic Guard,Friend Guard
255,Clefairy,Fairy,,70,45,48,60,65,35,Cute Charm,Magic Guard,Friend Guard
256,Clefable,Fairy,,95,70,73,95,90,60,Cute Charm,Magic Guard,Unaware
257,Togepi,Fairy,,35,20,65,40,65,20,Hustle,Serene Grace,Super Luck
258,Togetic,Fairy,Flying,55,40,85,80,105,40,Hustle,Serene Grace,Super Luck
259,Togekiss,Fairy,Flying,85,50,95,120,115,80,Hustle,Serene Grace,Super Luck
260,Munchlax,Normal,,135,85,40,40,85,5,Pickup,Thick Fat,Gluttony
261,Snorlax,Normal,,160,110,65,65,110,30,Immunity,Thick Fat,Gluttony
262,Cottonee,Grass,Fairy,40,27,60,37,50,66,Prankster,Infiltrator,Chlorophyll
263,Whimsicott,Grass,Fairy,60,67,85,77,75,116,Prankster,Infiltrator,Chlorophyll
264,Rhyhorn,Ground,Rock,80,85,95,30,30,25,Lightning Rod,Rock Head,Reckless
265,Rhydon,Ground,Rock,105,130,120,45,45,40,Lightning Rod,Rock Head,Reckless
266,Rhyperior,Ground,Rock,115,140,130,55,55,40,Lightning Rod,Solid Rock,Reckless
267,Gothita,Psychic,,45,30,50,55,65,45,Frisk,Competitive,Shadow Tag
268,Gothorita,Psychic,,60,45,70,75,85,55,Frisk,Competitive,Shadow Tag
269,Gothitelle,Psychic,,70,55,95,95,110,65,Frisk,Competitive,Shadow Tag
270,Solosis,Psychic,,45,30,40,105,50,20,Overcoat,Magic Guard,Regenerator
271,Duosion,Psychic,,65,40,50,125,60,30,Overcoat,Magic Guard,Regenerator
272,Reuniclus,Psychic,,110,65,75,125,85,30,Overcoat,Magic Guard,Regenerator
273,Karrablast,Bug,,50,75,45,40,45,60,Swarm,Shed Skin,No Guard
274,Escavalier,Bug,Steel,70,135,105,60,105,20,Swarm,Shell Armor,Overcoat
275,Shelmet,Bug,,50,40,85,40,65,25,Hydration,Shell Armor,Overcoat
276,Accelgor,Bug,,80,70,40,100,60,145,Hydration,Sticky Hold,Unburden
277,Elgyem,Psychic,,55,55,55,85,55,30,Telepathy,Synchronize,Analytic
278,Beheeyem,Psychic,,75,75,75,125,95,40,Telepathy,Synchronize,Analytic
279,Cubchoo,Ice,,55,70,40,60,40,40,Snow Cloak,Slush Rush,Rattled
280,Beartic,Ice,,95,130,80,70,80,50,Snow Cloak,Slush Rush,Swift Swim
281,Rufflet,Normal,Flying,70,83,50,37,50,60,Keen Eye,Sheer Force,Hustle
282,Braviary,Normal,Flying,100,123,75,57,75,80,Keen Eye,Sheer Force,Defiant
283,Vullaby,Dark,Flying,70,55,75,45,65,60,Big Pecks,Overcoat,Weak Armor
284,Mandibuzz,Dark,Flying,110,65,105,55,95,80,Big Pecks,Overcoat,Weak Armor
285,Skorupi,Poison,Bug,40,50,90,30,55,65,Battle Armor,Sniper,Keen Eye
286,Drapion,Poison,Dark,70,90,110,60,75,95,Battle Armor,Sniper,Keen Eye
287,Litwick,Ghost,Fire,50,30,55,65,55,20,Flash Fire,Flame Body,Infiltrator
288,Lampent,Ghost,Fire,60,40,60,95,60,55,Flash Fire,Flame Body,Infiltrator
289,Chandelure,Ghost,Fire,60,55,90,145,90,80,Flash Fire,Flame Body,Infiltrator
290,Inkay,Dark,Psychic,53,54,53,37,46,45,Contrary,Suction Cups,Infiltrator
291,Malamar,Dark,Psychic,86,92,88,68,75,73,Contrary,Suction Cups,Infiltrator
292,Sneasel,Dark,Ice,55,95,55,35,75,115,Inner Focus,Keen Eye,Pickpocket
293,Weavile,Dark,Ice,70,120,65,45,85,125,Pressure,Pickpocket,
294,Sableye,Dark,Ghost,50,75,75,65,65,50,Keen Eye,Stall,Prankster
295,Mawile,Steel,Fairy,50,85,85,55,55,50,Hyper Cutter,Intimidate,Sheer Force
296,Maractus,Grass,,75,86,67,106,67,60,Water Absorb,Chlorophyll,Storm Drain
297,Sigilyph,Psychic,Flying,72,58,80,103,80,97,Wonder Skin,Magic Guard,Tinted Lens
298,Riolu,Fighting,,40,70,40,35,40,60,Steadfast,Inner Focus,Prankster
299,Lucario,Fighting,Steel,70,110,70,115,70,90,Steadfast,Inner Focus,Justified
300,Torkoal,Fire,,70,85,140,85,70,20,White Smoke,Drought,Shell Armor
301,Mimikyu,Ghost,Fairy,55,90,80,50,105,96,Disguise,,
302,Cufant,Steel,,72,80,49,40,49,40,Sheer Force,Heavy Metal,
303,Copperajah,Steel,,122,130,69,80,69,30,Sheer Force,Heavy Metal,
304,Qwilfish,Water,Poison,65,95,85,55,55,85,Poison Point,Swift Swim,Intimidate
305,Frillish,Water,Ghost,55,40,50,65,85,40,Water Absorb,Cursed Body,Damp
306,Jellicent,Water,Ghost,100,60,70,85,105,60,Water Absorb,Cursed Body,Damp
307,Mareanie,Poison,Water,50,53,62,43,52,45,Merciless,Limber,Regenerator
308,Toxapex,Poison,Water,50,63,152,53,142,35,Merciless,Limber,Regenerator
309,Cramorant,Flying,Water,70,85,55,85,95,85,Gulp Missile,,
310,Toxel,Electric,Poison,40,38,35,54,35,40,Rattled,Static,Klutz
311,Toxtricity,Electric,Poison,75,98,70,114,70,75,Punk Rock,Plus,Technician
312,Silicobra,Ground,,52,57,75,35,50,46,Sand Spit,Shed Skin,Sand Veil
313,Sandaconda,Ground,,72,107,125,65,70,71,Sand Spit,Shed Skin,Sand Veil
314,Hippopotas,Ground,,68,72,78,38,42,32,Sand Stream,Sand Force,
315,Hippowdon,Ground,,108,112,118,68,72,47,Sand Stream,Sand Force,
316,Durant,Bug,Steel,58,109,112,48,48,109,Swarm,Hustle,Truant
317,Heatmor,Fire,,85,97,66,105,66,65,Gluttony,Flash Fire,White Smoke
318,Helioptile,Electric,Normal,44,38,33,61,43,70,Dry Skin,Sand Veil,Solar Power
319,Heliolisk,Electric,Normal,62,55,52,109,94,109,Dry Skin,Sand Veil,Solar Power
