Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Grass,Fire,Water,Bug,Normal,Poison,Electric,Ground,Fairy,Fighting,Psychic,Rock,Ghost,Ice,Dragon,Dark,Steel,Flying,Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6
Weedle,-1.1465609302926867,-1.3565110849458595,-1.4068313849108136,-1.6151998148065203,-1.8662232436383315,-0.6293405378089266,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Kakuna,-0.9506262218221118,-1.6648003005808378,-0.7650653428690443,-1.4623032022727716,-1.6864416104185125,-1.1458284637908114,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Beedrill,-0.16688738793981236,0.33907960104652196,-1.085948363889929,-0.8507167521377771,0.29115635499949677,0.23147267216088122,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
BeedrillMega Beedrill,-0.16688738793981236,2.188814894856393,-1.085948363889929,-1.7680964273402688,0.29115635499949677,2.6417496600763433,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Pidgey,-1.1465609302926867,-1.0482218693108811,-1.085948363889929,-1.1565099772052745,-1.3268783439788745,-0.42274536741617275,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Pidgeotto,-0.24526127132804232,-0.5857880458584134,-0.604623832358602,-0.6978201396040286,-0.7875334443194173,0.09374255856571197,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Pidgeot,0.538477562554257,0.030790385411543508,0.037142209683167365,-0.08623368946903401,-0.06840691144014126,1.1267184105294814,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
PidgeotMega Pidgeot,0.538477562554257,0.030790385411543508,0.1975837201936097,1.9014222734696982,0.29115635499949677,1.8153689785053277,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Rattata,-1.5384303472338363,-0.7091037321124047,-1.2463898744003714,-1.4623032022727716,-1.3268783439788745,0.12817508696450428,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Raticate,-0.558756804880962,0.06161930697504135,-0.44418232184815964,-0.6978201396040286,-0.06840691144014126,0.9889882969343121,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Spearow,-1.1465609302926867,-0.5857880458584134,-1.4068313849108136,-1.2788272672322734,-1.4707036505547295,0.059310030166919644,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Fearow,-0.16688738793981236,0.33907960104652196,-0.2837408113377173,-0.36144759202978155,-0.3920138512358155,1.0922858821306891,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Ekans,-1.3424956387632614,-0.5857880458584134,-0.9575951554815751,-1.0036133646715257,-0.6437081377435622,-0.4571778958149651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Arbok,-0.3628220964103872,0.18493499322903273,-0.15538760292936343,-0.23913030200278262,0.25520002835553296,0.4036353141548428,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Pikachu,-1.3424956387632614,-0.7399326536759026,-1.085948363889929,-0.6978201396040286,-0.7875334443194173,0.7479605981427659,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Raichu,-0.3628220964103872,0.33907960104652196,-0.604623832358602,0.5253527606659605,0.29115635499949677,1.4366111661186123,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Sandshrew,-0.754691513351537,-0.12335422240594572,0.358025230704052,-1.6151998148065203,-1.5066599771986935,-0.9736658217968498,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Sandslash,0.22498202900133732,0.6473688166815004,1.1602327832562638,-0.8507167521377771,-0.6077518110995983,-0.11285261182704193,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Nidoran♀,-0.558756804880962,-0.9865640261838854,-0.7008887386648673,-1.0036133646715257,-1.1470967107590553,-0.9392332933980575,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Nidorina,0.029047320530762477,-0.5241302027314176,-0.21956420713354038,-0.5449235270702799,-0.6077518110995983,-0.42274536741617275,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Nidoqueen,0.8127861544130619,0.40073744417351764,0.422201834908229,0.06666292306471461,0.4709379882193158,0.26590520055967354,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Nidoran♂,-0.9114392801279968,-0.6782748105489069,-1.085948363889929,-1.0036133646715257,-1.1470967107590553,-0.6293405378089266,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Nidorino,-0.32363515471627224,-0.21584098709643926,-0.540447228154425,-0.5449235270702799,-0.6077518110995983,-0.11285261182704193,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Nidoking,0.4601036791660271,0.7090266598084961,0.1013188138873443,0.37245614813221184,0.11137472177967776,0.5757979561488044,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Clefairy,0.029047320530762477,-1.0482218693108811,-0.8292419470732213,-0.39202691453653127,-0.2481885446599603,-1.1458284637908114,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Clefable,1.0087208628836368,-0.2774988302234349,-0.02703439452100957,0.6782493731997091,0.6507196214391349,-0.2850152538210035,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Vulpix,-1.2249348136809166,-1.1715375555648724,-1.085948363889929,-0.6978201396040286,-0.2481885446599603,-0.11285261182704193,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Ninetales,0.1466081456131074,-0.09252530084244787,0.037142209683167365,0.25013885810521297,1.0102828878787729,1.0922858821306891,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Jigglypuff,1.792459696765936,-1.0482218693108811,-1.7277144059316982,-0.8507167521377771,-1.6864416104185125,-1.662316389772696,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Wigglytuff,2.7721332391188103,-0.2774988302234349,-0.9255068533794867,0.37245614813221184,-0.7875334443194173,-0.8015031798028882,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Zubat,-1.1465609302926867,-1.0482218693108811,-1.2463898744003714,-1.309406589739023,-1.1470967107590553,-0.4571778958149651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Golbat,0.22498202900133732,0.030790385411543508,-0.12329930082727497,-0.23913030200278262,0.11137472177967776,0.7479605981427659,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Oddish,-0.9506262218221118,-0.8940772614933918,-0.604623832358602,0.06666292306471461,-0.2481885446599603,-1.3179911057847729,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Gloom,-0.3628220964103872,-0.43164343804092414,-0.12329930082727497,0.37245614813221184,0.11137472177967776,-0.9736658217968498,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Vileplume,0.22498202900133732,0.030790385411543508,0.358025230704052,1.136939210800955,0.6507196214391349,-0.6293405378089266,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Paras,-1.3424956387632614,-0.2774988302234349,-0.604623832358602,-0.8507167521377771,-0.6077518110995983,-1.4901537477787345,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Parasect,-0.3628220964103872,0.4932242088640112,0.1975837201936097,-0.39202691453653127,0.29115635499949677,-1.3179911057847729,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Venonat,-0.3628220964103872,-0.7399326536759026,-0.7650653428690443,-1.0036133646715257,-0.6077518110995983,-0.8015031798028882,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Venomoth,0.029047320530762477,-0.43164343804092414,-0.44418232184815964,0.5253527606659605,0.11137472177967776,0.7479605981427659,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Diglett,-2.3221691811161356,-0.7399326536759026,-1.567272895421256,-1.1565099772052745,-0.9673150775392364,0.9201232401367275,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Dugtrio,-1.3424956387632614,0.030790385411543508,-0.7650653428690443,-0.6978201396040286,-0.06840691144014126,1.7809364501065355,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Meowth,-1.1465609302926867,-1.0482218693108811,-1.2463898744003714,-1.0036133646715257,-1.1470967107590553,0.7479605981427659,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Persian,-0.16688738793981236,-0.2774988302234349,-0.44418232184815964,-0.23913030200278262,-0.2481885446599603,1.6087738081125738,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Psyduck,-0.754691513351537,-0.8324194183663961,-0.8292419470732213,-0.23913030200278262,-0.7875334443194173,-0.4571778958149651,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Golduck,0.42091673747191216,0.09244822853853919,0.13340711598943278,0.6782493731997091,0.29115635499949677,0.5757979561488044,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Mankey,-1.1465609302926867,0.030790385411543508,-1.2463898744003714,-1.1565099772052745,-0.9673150775392364,0.059310030166919644,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Primeape,-0.16688738793981236,0.8015134244989897,-0.44418232184815964,-0.39202691453653127,-0.06840691144014126,0.9201232401367275,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Growlithe,-0.558756804880962,-0.2774988302234349,-0.9255068533794867,-0.08623368946903401,-0.7875334443194173,-0.2850152538210035,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Arcanine,0.8127861544130619,0.9556580323164788,0.1975837201936097,0.8311459857334578,0.29115635499949677,0.9201232401367275,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Poliwag,-1.1465609302926867,-0.8940772614933918,-1.085948363889929,-1.0036133646715257,-1.1470967107590553,0.7479605981427659,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Poliwhirl,-0.16688738793981236,-0.43164343804092414,-0.2837408113377173,-0.6978201396040286,-0.7875334443194173,0.7479605981427659,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Poliwrath,0.8127861544130619,0.4932242088640112,0.6789082517249367,-0.08623368946903401,0.6507196214391349,0.059310030166919644,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Abra,-1.7343650557044112,-1.8189449083983271,-1.8881559164421406,0.9840425982672063,-0.6077518110995983,0.7479605981427659,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Kadabra,-1.1465609302926867,-1.3565110849458595,-1.4068313849108136,1.4427324358684521,-0.06840691144014126,1.2644485241246506,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Alakazam,-0.558756804880962,-0.8940772614933918,-0.9255068533794867,1.9014222734696982,0.8305012546589539,1.7809364501065355,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
AlakazamMega Alakazam,-0.558756804880962,-0.8940772614933918,-0.2837408113377173,3.124595173739687,0.8305012546589539,2.813912302070305,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Machop,0.029047320530762477,0.030790385411543508,-0.7650653428690443,-1.1565099772052745,-1.3268783439788745,-1.1458284637908114,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Machoke,0.42091673747191216,0.6473688166815004,-0.12329930082727497,-0.6978201396040286,-0.4279701778797793,-0.8015031798028882,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Machamp,0.8127861544130619,1.5722364635864357,0.1975837201936097,-0.23913030200278262,0.4709379882193158,-0.4571778958149651,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Bellsprout,-0.754691513351537,-0.12335422240594572,-1.2463898744003714,-0.08623368946903401,-1.5066599771986935,-0.9736658217968498,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Weepinbell,-0.16688738793981236,0.33907960104652196,-0.7650653428690443,0.37245614813221184,-0.9673150775392364,-0.4571778958149651,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Victreebel,0.42091673747191216,0.8015134244989897,-0.2837408113377173,0.8311459857334578,-0.06840691144014126,0.059310030166919644,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Tentacool,-1.1465609302926867,-1.2023664771283702,-1.2463898744003714,-0.6978201396040286,1.0102828878787729,0.059310030166919644,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Tentacruel,0.42091673747191216,-0.2774988302234349,-0.2837408113377173,0.21955953559846322,1.729409420758049,1.0922858821306891,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Geodude,-1.1465609302926867,0.030790385411543508,0.839349762235379,-1.309406589739023,-1.5066599771986935,-1.662316389772696,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0
Graveler,-0.558756804880962,0.4932242088640112,1.320674293766706,-0.8507167521377771,-0.9673150775392364,-1.1458284637908114,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0
Golem,0.42091673747191216,1.2639472479514573,1.801998825298033,-0.5449235270702799,-0.2481885446599603,-0.8015031798028882,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0
Ponyta,-0.754691513351537,0.18493499322903273,-0.604623832358602,-0.23913030200278262,-0.2481885446599603,0.7479605981427659,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Rapidash,-0.16688738793981236,0.6473688166815004,-0.12329930082727497,0.21955953559846322,0.29115635499949677,1.2644485241246506,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Slowpoke,0.8127861544130619,-0.43164343804092414,-0.2837408113377173,-1.0036133646715257,-1.1470967107590553,-1.8344790317666577,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Slowbro,1.0087208628836368,-0.12335422240594572,1.1602327832562638,0.8311459857334578,0.29115635499949677,-1.3179911057847729,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
SlowbroMega Slowbro,1.0087208628836368,-0.12335422240594572,3.4064139304024565,1.7485256609359494,0.29115635499949677,-1.3179911057847729,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Magnemite,-1.7343650557044112,-1.3565110849458595,-0.12329930082727497,0.6782493731997091,-0.6077518110995983,-0.8015031798028882,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,0
Magneton,-0.754691513351537,-0.5857880458584134,0.6789082517249367,1.4427324358684521,-0.06840691144014126,0.059310030166919644,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1,0,0,0,0,0
Farfetch'd,-0.676317629963307,-0.43164343804092414,-0.604623832358602,-0.4531855595500307,-0.3560575245918517,-0.2850152538210035,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Doduo,-1.3424956387632614,0.18493499322903273,-0.9255068533794867,-1.1565099772052745,-1.3268783439788745,0.23147267216088122,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Dodrio,-0.3628220964103872,0.9556580323164788,-0.12329930082727497,-0.39202691453653127,-0.4279701778797793,1.0922858821306891,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,0,0,0,0
Seel,-0.16688738793981236,-1.0482218693108811,-0.604623832358602,-0.8507167521377771,-0.06840691144014126,-0.8015031798028882,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Dewgong,0.8127861544130619,-0.2774988302234349,0.1975837201936097,-0.08623368946903401,0.8305012546589539,0.059310030166919644,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,0
Grimer,0.42091673747191216,0.030790385411543508,-0.7650653428690443,-1.0036133646715257,-0.7875334443194173,-1.4901537477787345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Muk,1.4005902798247865,0.8015134244989897,0.037142209683167365,-0.23913030200278262,1.0102828878787729,-0.6293405378089266,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Shellder,-1.5384303472338363,-0.43164343804092414,0.839349762235379,-0.8507167521377771,-1.6864416104185125,-0.9736658217968498,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Cloyster,-0.754691513351537,0.4932242088640112,3.4064139304024565,0.37245614813221184,-0.9673150775392364,0.059310030166919644,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,0,0
Gastly,-1.5384303472338363,-1.3565110849458595,-1.4068313849108136,0.8311459857334578,-1.3268783439788745,0.4036353141548428,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,0,0
Haunter,-0.9506262218221118,-0.8940772614933918,-0.9255068533794867,1.2898358233347036,-0.6077518110995983,0.9201232401367275,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,0,0
Gengar,-0.3628220964103872,-0.43164343804092414,-0.44418232184815964,1.7485256609359494,0.11137472177967776,1.4366111661186123,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,0,0
GengarMega Gengar,-0.3628220964103872,-0.43164343804092414,0.1975837201936097,2.9716985612059386,0.8305012546589539,2.1252617340944586,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0,0,0,0
Onix,-1.3424956387632614,-1.0482218693108811,2.764647888360687,-1.309406589739023,-0.9673150775392364,0.059310030166919644,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0
Drowzee,-0.3628220964103872,-0.9557351046203875,-0.9255068533794867,-0.9118753971512766,0.6507196214391349,-0.9048007649992652,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Hypno,0.616851445942487,-0.18501206553294142,-0.12329930082727497,0.005504278051215159,1.5496277875382298,-0.0439875550294573,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Krabby,-1.5384303472338363,0.8015134244989897,0.5184667412144943,-1.4623032022727716,-1.6864416104185125,-0.6293405378089266,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Kingler,-0.558756804880962,1.5722364635864357,1.320674293766706,-0.6978201396040286,-0.7875334443194173,0.23147267216088122,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Voltorb,-1.1465609302926867,-1.5106556927633488,-0.7650653428690443,-0.5449235270702799,-0.6077518110995983,1.0922858821306891,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Electrode,-0.3628220964103872,-0.8940772614933918,-0.12329930082727497,0.21955953559846322,0.29115635499949677,2.4695870180823816,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Exeggcute,-0.3628220964103872,-1.2023664771283702,0.1975837201936097,-0.39202691453653127,-0.9673150775392364,-0.9736658217968498,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Exeggutor,1.0087208628836368,0.4932242088640112,0.358025230704052,1.5956290484022009,-0.2481885446599603,-0.4571778958149651,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,0,0,0,0
Cubone,-0.754691513351537,-0.8940772614933918,0.6789082517249367,-1.0036133646715257,-0.7875334443194173,-1.1458284637908114,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Marowak,-0.3628220964103872,0.030790385411543508,1.1602327832562638,-0.6978201396040286,0.29115635499949677,-0.8015031798028882,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Hitmonlee,-0.754691513351537,1.2639472479514573,-0.6688004365627789,-1.1565099772052745,1.3698461543184108,0.644663012946389,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Hitmonchan,-0.754691513351537,0.8015134244989897,0.16549541809152124,-1.1565099772052745,1.3698461543184108,0.26590520055967354,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Lickitung,0.8127861544130619,-0.7399326536759026,0.037142209683167365,-0.39202691453653127,0.11137472177967776,-1.3179911057847729,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Koffing,-1.1465609302926867,-0.43164343804092414,0.6789082517249367,-0.39202691453653127,-0.9673150775392364,-1.1458284637908114,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Weezing,-0.16688738793981236,0.33907960104652196,1.4811158042771484,0.37245614813221184,-0.06840691144014126,-0.2850152538210035,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0,0
Rhyhorn,0.42091673747191216,0.18493499322903273,0.6789082517249367,-1.309406589739023,-1.5066599771986935,-1.4901537477787345,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,0
